wavelength(nm),reflectance,diffuse_transmittance
1212,0.4283,0.5231
1213,0.42839,0.52317
1214,0.42849,0.5232
1215,0.42859,0.52327
1216,0.42868,0.52333
1217,0.42879,0.52348
1218,0.42889,0.5236
1219,0.42899,0.52371
1220,0.42909,0.5238
1221,0.42921,0.52391
1222,0.42932,0.52399
1223,0.42943,0.52404
1224,0.42955,0.52412
1225,0.42967,0.52419
1226,0.42978,0.52427
1227,0.42989,0.52426
1228,0.43,0.52425
1229,0.43009,0.5243
1230,0.43017,0.52442
1231,0.43026,0.52449
1232,0.43035,0.52455
1233,0.43044,0.52461
1234,0.43055,0.52469
1235,0.43064,0.52476
1236,0.43073,0.52487
1237,0.43081,0.52496
1238,0.43088,0.52508
1239,0.43095,0.52514
1240,0.431,0.52517
1241,0.43108,0.52531
1242,0.43116,0.52541
1243,0.43124,0.52545
1244,0.43134,0.52546
1245,0.43141,0.52554
1246,0.43148,0.52558
1247,0.43153,0.52569
1248,0.43157,0.52577
1249,0.4316,0.52578
1250,0.43163,0.52584
1251,0.43167,0.52587
1252,0.43171,0.52588
1253,0.43175,0.52599
1254,0.43179,0.52602
1255,0.43183,0.52608
1256,0.43185,0.5261
1257,0.43185,0.52616
1258,0.43186,0.52619
1259,0.43185,0.52618
1260,0.43186,0.52624
1261,0.43189,0.52627
1262,0.4319,0.52633
1263,0.43189,0.5264
1264,0.43189,0.52648
1265,0.43189,0.52654
1266,0.43189,0.52661
1267,0.43189,0.52659
1268,0.43189,0.52658
1269,0.43188,0.52653
1270,0.43187,0.5265
1271,0.43186,0.52653
1272,0.43185,0.52655
1273,0.43184,0.52655
1274,0.43181,0.52655
1275,0.4318,0.52656
1276,0.43179,0.5266
1277,0.43177,0.52655
1278,0.43176,0.52652
1279,0.43173,0.5265
1280,0.4317,0.52646
1281,0.43167,0.5264
1282,0.43164,0.52643
1283,0.43162,0.52639
1284,0.4316,0.52637
1285,0.43156,0.52631
1286,0.43151,0.52628
1287,0.43146,0.52626
1288,0.43139,0.52623
1289,0.43133,0.5261
1290,0.43127,0.52601
1291,0.43119,0.52589
1292,0.4311,0.52582
1293,0.431,0.52574
1294,0.4309,0.52565
1295,0.43077,0.52559
1296,0.43065,0.52556
1297,0.43053,0.52547
1298,0.4304,0.52541
1299,0.43028,0.52536
1300,0.43013,0.52526
1301,0.42998,0.52515
1302,0.42981,0.52506
1303,0.42962,0.52499
1304,0.4294,0.52491
1305,0.42916,0.52476
1306,0.42892,0.52449
1307,0.42868,0.52427
1308,0.42841,0.52403
1309,0.42814,0.52376
1310,0.42785,0.52351
1311,0.42751,0.52325
1312,0.42716,0.52299
1313,0.4268,0.52276
1314,0.42643,0.5225
1315,0.42608,0.52227
1316,0.42569,0.52206
1317,0.42527,0.52182
1318,0.42484,0.52154
1319,0.42437,0.52124
1320,0.42389,0.52088
1321,0.4234,0.52053
1322,0.42291,0.52017
1323,0.4224,0.51981
1324,0.42186,0.51949
1325,0.42131,0.51917
1326,0.42075,0.51878
1327,0.42018,0.51832
1328,0.41957,0.51779
1329,0.41897,0.51735
1330,0.41835,0.51699
1331,0.41773,0.51661
1332,0.4171,0.51624
1333,0.41646,0.51581
1334,0.41581,0.51536
1335,0.41516,0.51478
1336,0.4145,0.51426
1337,0.41384,0.51376
1338,0.41317,0.51334
1339,0.4125,0.51291
1340,0.41183,0.51248
1341,0.41116,0.51208
1342,0.41049,0.5116
1343,0.40983,0.5112
1344,0.40917,0.51072
1345,0.40852,0.51019
1346,0.40786,0.50969
1347,0.40721,0.50919
1348,0.40656,0.50875
1349,0.40591,0.50835
1350,0.40526,0.50789
1351,0.40462,0.50749
1352,0.40399,0.50705
1353,0.40338,0.50665
1354,0.40274,0.5062
1355,0.40209,0.50569
1356,0.40144,0.50502
1357,0.40077,0.50437
1358,0.40009,0.50373
1359,0.39942,0.50322
1360,0.39871,0.50286
1361,0.39798,0.5025
1362,0.39721,0.50221
1363,0.39643,0.50189
1364,0.39559,0.50162
1365,0.39471,0.50125
1366,0.39375,0.50061
1367,0.39273,0.49994
1368,0.39165,0.49901
1369,0.39053,0.49801
1370,0.38929,0.49696
1371,0.38798,0.49575
1372,0.38655,0.49443
1373,0.38504,0.49317
1374,0.38338,0.49161
1375,0.38162,0.48992
1376,0.37971,0.48821
1377,0.37767,0.48614
1378,0.37546,0.48389
1379,0.37306,0.48149
1380,0.37051,0.47918
1381,0.36777,0.47656
1382,0.36486,0.47388
1383,0.36176,0.47105
1384,0.35847,0.46826
1385,0.35504,0.46503
1386,0.35142,0.46167
1387,0.34765,0.45805
1388,0.34372,0.45413
1389,0.33969,0.4504
1390,0.33548,0.44616
1391,0.33119,0.44191
1392,0.32676,0.43751
1393,0.32233,0.43308
1394,0.31778,0.42844
1395,0.31325,0.42404
1396,0.30867,0.41956
1397,0.30417,0.41507
1398,0.29965,0.41075
1399,0.29521,0.40652
1400,0.29081,0.4024
1401,0.28656,0.39836
1402,0.28238,0.3943
1403,0.27835,0.39038
1404,0.27447,0.38657
1405,0.27076,0.38299
1406,0.26719,0.37947
1407,0.26379,0.37613
1408,0.26055,0.37296
1409,0.25752,0.37002
1410,0.25465,0.36723
1411,0.25195,0.36456
1412,0.24944,0.36197
1413,0.24712,0.35959
1414,0.24496,0.35738
1415,0.24297,0.3553
1416,0.24113,0.3534
1417,0.23947,0.35167
1418,0.23792,0.35003
1419,0.2365,0.34846
1420,0.23519,0.34709
1421,0.23402,0.34583
1422,0.23294,0.34468
1423,0.23198,0.34359
1424,0.2311,0.34262
1425,0.23033,0.34171
1426,0.22963,0.34099
1427,0.22902,0.34032
1428,0.22846,0.33976
1429,0.228,0.33919
1430,0.22758,0.33871
1431,0.22723,0.33822
1432,0.22693,0.33782
1433,0.2267,0.33758
1434,0.22651,0.33744
1435,0.22637,0.3373
1436,0.22626,0.33712
1437,0.22621,0.33701
1438,0.22619,0.33698
1439,0.22621,0.33689
1440,0.22626,0.33682
1441,0.22635,0.33683
1442,0.22645,0.33695
1443,0.22659,0.3372
1444,0.22674,0.33754
1445,0.2269,0.33788
1446,0.22708,0.33817
1447,0.22727,0.33839
1448,0.22749,0.33858
1449,0.22772,0.33881
1450,0.22797,0.339
1451,0.22822,0.33911
1452,0.2285,0.33933
1453,0.2288,0.33973
1454,0.22911,0.34025
1455,0.22945,0.34074
1456,0.22981,0.34126
1457,0.23021,0.34179
1458,0.23064,0.34236
1459,0.23112,0.34298
1460,0.23164,0.34356
1461,0.23221,0.34412
1462,0.23282,0.34474
1463,0.23349,0.34548
1464,0.23421,0.34642
1465,0.23498,0.34738
1466,0.23581,0.34843
1467,0.23669,0.34951
1468,0.23761,0.35061
1469,0.23858,0.35175
1470,0.23961,0.35304
1471,0.24066,0.35433
1472,0.24176,0.35567
1473,0.24289,0.35704
1474,0.24406,0.35834
1475,0.24524,0.35981
1476,0.24647,0.36114
1477,0.24771,0.3624
1478,0.24897,0.36371
1479,0.25022,0.36506
1480,0.2515,0.36655
1481,0.25279,0.36803
1482,0.25408,0.36962
